Product ID,Product Name,Unit Price ($)
1,Wireless Mouse,15.99
2,Bluetooth Headphones,39.99
3,4K Smart TV,499.99
4,Portable Charger,25.49
5,Gaming Keyboard,79.99
6,Laptop Stand,29.99
7,Phone Case,12.99
8,Digital Camera,299.99
9,Smartwatch,199.99
10,Tablet,249.99
11,Noise-Canceling Headphones,89.99
12,Electric Toothbrush,49.99
13,Air Purifier,119.99
14,Coffee Maker,59.99
15,LED Desk Lamp,18.99
16,Wireless Charger,22.99
17,Action Camera,169.99
18,VR Headset,399.99
19,Bluetooth Speaker,39.99
20,Smart Thermostat,129.99
